frequency_hz,viscosity_mpa_s,backpressure_pa,swept_volume_ml_cycle,net_flow_ml_min,sample_amount_30s_ml,outlet_min_ml_min,outlet_max_ml_min,chamber_pressure_half_range_pa,peak_reynolds_number,hydraulic_input_power_mw,pressure_residual_pa,points_per_cycle,settling_cycles,trial,swept_volume_factor,loss_factor
1.0,4.5981583360930305,0.0,2.8563561823452255,20.472900018209604,10.236450009104802,-243.91849280876204,285.0096035100924,3.2598202168333823,48.55094582933387,0.0016666970216382769,1.7763568394002505e-15,160,45,42,1.119947611504815,0.8823038462057026
1.0,3.762362790502789,0.0,2.470820345964297,20.56794331960202,10.28397165980101,-208.13432585582837,249.38061051449228,2.816629554197174,51.90398104928875,0.0010785371097859345,2.220446049250313e-15,160,45,43,0.9687830117349723,1.0485844075604673
1.0,5.045566961225175,0.0,2.753237043979893,21.104484744306216,10.552242372153108,-233.73514802526736,276.12906135277467,3.1442390659830615,42.85537367574854,0.0017186425352186774,2.220446049250313e-15,160,45,44,1.0795156676784443,1.0935601534337889
1.0,4.573643716859362,0.0,2.661766317599765,19.925577701629358,9.962788850814679,-226.45168610876868,266.4454478479291,3.0376791458717562,45.626759192617065,0.001451796650131778,2.220446049250313e-15,160,45,45,1.0436509452866016,0.9962973517196434
1.0,4.411022106862398,0.0,2.5297891034639597,18.562917713908767,9.281458856954384,-215.59989999752463,252.84735078532157,2.8863502599511115,44.89852457845901,0.0012553540926719658,2.220446049250313e-15,160,45,46,0.9919040494834682,0.9804859488064066
1.0,4.836899712486044,0.0,2.5152399666890077,18.575671401013775,9.287835700506887,-214.23806276693546,251.5341200460779,2.871501653163817,40.72893786962575,0.0013539004982048453,1.7763568394002505e-15,160,45,47,0.9861994839669975,1.0815842005926415
1.0,4.552206140954339,0.0,2.5291838005270066,18.838845531264095,9.419422765632046,-215.2665629435588,253.0763896737366,2.8862617185703403,43.54253240711902,0.0012979892561648411,2.220446049250313e-15,160,45,48,0.99166671648464,1.0312904683164343
1.0,5.456062764215413,0.0,2.759540841349555,19.62071111664336,9.81035555832168,-235.80519532846301,275.2352420700409,3.1536860864204996,39.508560527585246,0.0018136223967174447,2.220446049250313e-15,160,45,49,1.0819873211967272,1.0502547061428422
1.0,5.230639410014161,0.0,2.6702929413663807,18.037052296355604,9.018526148177802,-229.13206555209123,265.3607101475117,3.0501229129299343,39.740269685513994,0.0016051747977120613,2.220446049250313e-15,160,45,50,1.04699414596327,0.9682606882144413
1.0,5.52368865700535,0.0,2.5256001782368704,15.954028338174723,7.9770141690873615,-217.8242531868514,249.87664452926836,2.8865332517509996,35.4407389408824,0.0014792275015578942,2.220446049250313e-15,160,45,51,0.9902616153809399,0.976054803666579
1.0,5.27140804251495,0.0,2.75281004072474,17.26475707927887,8.632378539639435,-237.54638752530207,272.2202354847789,3.1445519643680093,40.45967633786107,0.0016884275250267642,1.7763568394002505e-15,160,45,52,1.0793482441341855,0.8558912643218429
1.0,5.314773593153589,0.0,2.669835052792093,18.41138207316563,9.205691036582813,-228.71378582484166,265.70112028798025,3.0501749382077126,39.15852157996803,0.0016382105840049743,1.7763568394002505e-15,160,45,53,1.046814612605953,1.0117335602251256
1.0,4.8856469359170385,0.0,2.2931043966249285,13.550918222147283,6.7754591110736415,-198.7101353123921,225.90491689550387,2.617853738767368,36.23502038967413,0.0010629679135059711,2.6645352591003757e-15,160,45,54,0.8991024326044242,0.8704857515782274
1.0,4.041637124594604,0.0,2.450024074407527,15.493820147197686,7.746910073598843,-211.2919010449211,242.35797642465846,2.7937178593712293,46.98994840993465,0.0010388568869381801,2.6645352591003757e-15,160,45,55,0.9606290095127817,0.7564687383486216
1.0,4.916503273942275,0.0,2.4754525922709245,18.888673687221605,9.444336843610802,-210.2399464885372,248.1721440638957,2.826444366922297,39.52958140115679,0.0013441352776030297,2.220446049250313e-15,160,45,56,0.9705992674313294,1.1685004450900003
1.0,4.2467657840163575,0.0,2.617192168865785,20.13207152834238,10.066035764171192,-222.1196371934678,262.5117322577959,2.9854513184552607,48.41218687036433,0.0013209361826814687,2.220446049250313e-15,160,45,57,1.0261738842260677,0.9850327162910932
1.0,5.07803790881369,0.0,2.5751867626175864,19.690440504138337,9.84522025206917,-218.66857778336538,258.2220464843653,2.9410137160715384,39.82032126291868,0.0015041908261039592,2.220446049250313e-15,160,45,58,1.0097040004319067,1.1645046384862054
1.0,4.204609488893295,0.0,2.61471768701525,19.510032155648954,9.755016077824477,-222.514262041089,261.65343825961605,2.9824035173298746,48.74233433963899,0.0012933211111833174,1.7763568394002505e-15,160,45,59,1.0252036655763952,0.9342785223288588
1.0,5.069881926094938,0.0,2.6121264460724074,21.25146783819664,10.62573391909832,-220.52226248169964,263.2202575236668,2.983288343587633,40.64833991101249,0.0015805117886658563,2.220446049250313e-15,160,45,60,1.0241876668985317,1.259822524948033
1.0,3.097686543124375,0.0,2.443345926520162,23.20253054164543,11.601265270822717,-202.95551229312883,249.45935425052997,2.7828587463030123,63.04111469958757,0.0009341071789814939,1.7763568394002505e-15,160,45,61,0.9580105770420843,1.1014233097001864
1.0,4.0312742783642985,0.0,2.556949499473711,20.025437623560872,10.012718811780436,-216.65034525122184,256.8180650264426,2.9158523705628863,49.89317949378129,0.0012070467210466753,1.7763568394002505e-15,160,45,62,1.0025533588471454,0.9860178013912417
1.0,4.377320996311033,0.0,2.5878376876014744,21.506123626583435,10.753061813291719,-218.02341135166625,261.1887468943827,2.9526486797778517,46.719421040346575,0.0013637134447922704,2.220446049250313e-15,160,45,63,1.0146642968076194,1.1490531560551351
1.0,4.166391608292156,0.0,2.880021849297586,22.167264152425858,11.083632076212929,-244.41319145373927,288.8862157950748,3.2849218768854946,54.30396073058267,0.001585165714818975,2.6645352591003757e-15,160,45,64,1.129226673878683,0.8902845070320428
1.0,4.839060969948422,0.0,2.6096935773420618,19.337098769822756,9.668549384911378,-222.21930872968656,261.04544673996946,2.979358976926167,42.24955421255277,0.0014634248630294568,2.220446049250313e-15,160,45,65,1.0232337643213614,1.0514737247072405
1.0,6.148170009975721,0.0,2.50507009666967,14.40677674094618,7.20338837047309,-217.47461196396816,246.4395436309276,2.8667644640274,31.406917094516295,0.001573717700676228,1.7763568394002505e-15,160,45,66,0.9822119834907369,0.9567728319261789
1.0,5.116588827750452,0.0,2.614792035954185,21.64960006938384,10.82480003469192,-220.369032725864,263.8732344786769,2.98657024859891,40.374425627894,0.0016077816851711054,2.220446049250313e-15,160,45,67,1.0252328170236458,1.303745675339338
1.0,3.475966654210642,0.0,2.2857620803795826,18.243063287765338,9.121531643882669,-193.3327238161111,229.8997207286679,2.604519262442377,51.80107184550478,0.0008397943496085412,2.220446049250313e-15,160,45,68,0.8962235866143079,0.9821954555262109
1.0,3.986637263595884,0.0,2.4919013163885877,22.210576580916932,11.105288290458468,-208.43791649161264,252.99979154743392,2.8417088811702143,49.68191563902768,0.0011895098150938375,2.6645352591003757e-15,160,45,69,0.9770486414280812,1.2197987073164749
